Class,F1_score,Precision,Recall,Support
alt.atheism,0.59,0.61,0.58,269
comp.graphics,0.63,0.68,0.59,362
comp.os.ms-windows.misc,0.66,0.67,0.65,323
comp.sys.ibm.pc.hardware,0.58,0.56,0.61,292
comp.sys.mac.hardware,0.67,0.66,0.67,307
comp.windows.x,0.75,0.73,0.77,312
misc.forsale,0.76,0.77,0.74,334
rec.autos,0.69,0.71,0.67,329
rec.motorcycles,0.71,0.70,0.72,315
rec.sport.baseball,0.80,0.79,0.81,307
rec.sport.hockey,0.87,0.88,0.87,327
sci.crypt,0.79,0.76,0.83,293
sci.electronics,0.63,0.64,0.63,322
sci.med,0.79,0.80,0.79,320
sci.space,0.77,0.78,0.77,320
soc.religion.christian,0.75,0.76,0.73,335
talk.politics.guns,0.69,0.69,0.68,299
talk.politics.mideast,0.82,0.82,0.82,304
talk.politics.misc,0.58,0.59,0.58,255
talk.religion.misc,0.46,0.42,0.50,167
