Class,F1_score,Precision,Recall,Support
alt.atheism,0.56,0.55,0.57,259.67
comp.graphics,0.61,0.6,0.62,317.33
comp.os.ms-windows.misc,0.64,0.64,0.64,315.33
comp.sys.ibm.pc.hardware,0.63,0.62,0.64,321.0
comp.sys.mac.hardware,0.68,0.7,0.66,309.0
comp.windows.x,0.75,0.75,0.75,326.0
misc.forsale,0.76,0.77,0.74,319.67
rec.autos,0.7,0.68,0.71,311.0
rec.motorcycles,0.71,0.71,0.7,323.0
rec.sport.baseball,0.81,0.82,0.8,317.67
rec.sport.hockey,0.87,0.88,0.87,324.67
sci.crypt,0.78,0.81,0.75,320.67
sci.electronics,0.64,0.63,0.65,318.67
sci.med,0.78,0.76,0.8,319.67
sci.space,0.76,0.77,0.75,318.0
soc.religion.christian,0.75,0.74,0.76,324.67
talk.politics.guns,0.67,0.65,0.7,295.0
talk.politics.mideast,0.8,0.8,0.79,305.67
talk.politics.misc,0.58,0.57,0.59,251.33
talk.religion.misc,0.44,0.49,0.39,201.33
avg,0.7,0.7,0.69,304.97
