Class,F1_score,Precision,Recall,Support
alt.atheism,0.35,0.22,0.83,70
comp.graphics,0.66,0.71,0.62,360
comp.os.ms-windows.misc,0.71,0.67,0.76,278
comp.sys.ibm.pc.hardware,0.68,0.82,0.58,457
comp.sys.mac.hardware,0.73,0.64,0.86,230
comp.windows.x,0.83,0.86,0.81,343
misc.forsale,0.80,0.78,0.83,301
rec.autos,0.77,0.70,0.85,256
rec.motorcycles,0.79,0.74,0.85,281
rec.sport.baseball,0.89,0.85,0.92,294
rec.sport.hockey,0.89,0.90,0.87,337
sci.crypt,0.78,0.86,0.72,383
sci.electronics,0.71,0.63,0.81,248
sci.med,0.84,0.84,0.84,319
sci.space,0.83,0.81,0.86,300
soc.religion.christian,0.50,0.94,0.34,898
talk.politics.guns,0.74,0.77,0.72,317
talk.politics.mideast,0.78,0.84,0.72,357
talk.politics.misc,0.41,0.26,0.97,68
talk.religion.misc,0.03,0.01,0.75,4
