Class,F1_score,Precision,Recall,Support
alt.atheism,0.32,0.87,0.19,259.67
comp.graphics,0.66,0.64,0.69,317.33
comp.os.ms-windows.misc,0.69,0.74,0.65,315.33
comp.sys.ibm.pc.hardware,0.65,0.56,0.78,321.0
comp.sys.mac.hardware,0.73,0.85,0.63,309.0
comp.windows.x,0.8,0.75,0.85,326.0
misc.forsale,0.81,0.82,0.81,319.67
rec.autos,0.8,0.87,0.74,311.0
rec.motorcycles,0.8,0.88,0.74,323.0
rec.sport.baseball,0.88,0.92,0.83,317.67
rec.sport.hockey,0.89,0.86,0.92,324.67
sci.crypt,0.75,0.66,0.87,320.67
sci.electronics,0.71,0.81,0.63,318.67
sci.med,0.85,0.87,0.83,319.67
sci.space,0.82,0.86,0.78,318.0
soc.religion.christian,0.51,0.34,0.95,324.67
talk.politics.guns,0.73,0.72,0.74,295.0
talk.politics.mideast,0.8,0.74,0.86,305.67
talk.politics.misc,0.4,0.95,0.25,251.33
talk.religion.misc,0.03,0.92,0.01,201.33
avg,0.68,0.78,0.69,304.97
