Class,F1_score,Precision,Recall,Support
alt.atheism,0.50,0.47,0.54,228
comp.graphics,0.64,0.62,0.66,298
comp.os.ms-windows.misc,0.59,0.59,0.60,314
comp.sys.ibm.pc.hardware,0.61,0.60,0.63,303
comp.sys.mac.hardware,0.61,0.60,0.63,293
comp.windows.x,0.69,0.75,0.65,374
misc.forsale,0.71,0.72,0.71,326
rec.autos,0.68,0.65,0.72,282
rec.motorcycles,0.67,0.69,0.64,346
rec.sport.baseball,0.85,0.86,0.84,328
rec.sport.hockey,0.88,0.89,0.88,327
sci.crypt,0.74,0.74,0.74,321
sci.electronics,0.61,0.58,0.65,283
sci.med,0.80,0.86,0.75,367
sci.space,0.78,0.79,0.77,327
soc.religion.christian,0.72,0.83,0.64,423
talk.politics.guns,0.65,0.71,0.59,353
talk.politics.mideast,0.79,0.81,0.76,325
talk.politics.misc,0.58,0.58,0.59,247
talk.religion.misc,0.14,0.08,0.47,36
