Class,F1_score,Precision,Recall,Support
alt.atheism,0.49,0.53,0.45,259.67
comp.graphics,0.61,0.61,0.6,317.33
comp.os.ms-windows.misc,0.58,0.6,0.57,315.33
comp.sys.ibm.pc.hardware,0.57,0.59,0.56,321.0
comp.sys.mac.hardware,0.59,0.61,0.57,309.0
comp.windows.x,0.67,0.65,0.7,326.0
misc.forsale,0.72,0.7,0.73,319.67
rec.autos,0.71,0.71,0.71,311.0
rec.motorcycles,0.69,0.69,0.68,323.0
rec.sport.baseball,0.85,0.85,0.85,317.67
rec.sport.hockey,0.9,0.9,0.9,324.67
sci.crypt,0.73,0.7,0.75,320.67
sci.electronics,0.61,0.63,0.6,318.67
sci.med,0.81,0.77,0.84,319.67
sci.space,0.77,0.75,0.78,318.0
soc.religion.christian,0.71,0.63,0.81,324.67
talk.politics.guns,0.65,0.61,0.7,295.0
talk.politics.mideast,0.8,0.78,0.83,305.67
talk.politics.misc,0.57,0.59,0.55,251.33
talk.religion.misc,0.15,0.41,0.09,201.33
avg,0.66,0.67,0.66,304.97
