Class,F1_score,Precision,Recall,Support
alt.atheism,0.45,0.50,0.41,260
comp.graphics,0.59,0.61,0.57,318
comp.os.ms-windows.misc,0.55,0.56,0.53,316
comp.sys.ibm.pc.hardware,0.53,0.52,0.54,321
comp.sys.mac.hardware,0.51,0.55,0.48,309
comp.windows.x,0.65,0.61,0.68,326
misc.forsale,0.68,0.66,0.71,320
rec.autos,0.68,0.66,0.70,311
rec.motorcycles,0.68,0.69,0.67,323
rec.sport.baseball,0.81,0.82,0.81,318
rec.sport.hockey,0.85,0.83,0.86,325
sci.crypt,0.71,0.68,0.74,321
sci.electronics,0.61,0.64,0.57,319
sci.med,0.82,0.81,0.83,320
sci.space,0.78,0.76,0.81,318
soc.religion.christian,0.70,0.62,0.81,325
talk.politics.guns,0.65,0.60,0.70,295
talk.politics.mideast,0.78,0.74,0.82,306
talk.politics.misc,0.56,0.58,0.54,252
talk.religion.misc,0.13,0.30,0.08,202
