Class,F1_score,Precision,Recall,Support
alt.atheism,0.47,0.52,0.43,259.67
comp.graphics,0.59,0.6,0.58,317.33
comp.os.ms-windows.misc,0.56,0.58,0.55,315.33
comp.sys.ibm.pc.hardware,0.55,0.56,0.54,321.0
comp.sys.mac.hardware,0.53,0.56,0.5,309.0
comp.windows.x,0.66,0.62,0.71,326.0
misc.forsale,0.68,0.67,0.71,319.67
rec.autos,0.68,0.68,0.68,311.0
rec.motorcycles,0.68,0.69,0.68,323.0
rec.sport.baseball,0.81,0.81,0.8,317.67
rec.sport.hockey,0.84,0.83,0.85,324.67
sci.crypt,0.72,0.69,0.74,320.67
sci.electronics,0.6,0.62,0.57,318.67
sci.med,0.81,0.78,0.85,319.67
sci.space,0.75,0.73,0.77,318.0
soc.religion.christian,0.7,0.62,0.81,324.67
talk.politics.guns,0.65,0.6,0.7,295.0
talk.politics.mideast,0.76,0.73,0.79,305.67
talk.politics.misc,0.54,0.56,0.53,251.33
talk.religion.misc,0.14,0.37,0.08,201.33
avg,0.64,0.64,0.64,304.97
